THOR_DATA_VIET_ID,MSNDATE,SOURCERECORD,MISSIONID,latitude,longitude,record_x,record_y,n_weapons,WEAPONTYPE,WEAPONTYPECLASS,weapon_weight_lb,weapon_weight_lb_used,weight_is_imputed,recorded_tonnage_t,known_tonnage_t,MFUNC_DESC,TGTCOUNTRY,MFUNC_DESC_CLASS,mission_key
8546,1972-10-01,SEADAB,6939,16.742777,106.965555,12305.895895224325,2532.6868441832676,12,,,0,500,True,2.72155422,0.0,AIR INTERDICTION,SOUTH VIETNAM,KINETIC,SEADAB|1972-10-01|6939
9294,1972-04-22,SEADAB,B109,16.799444,106.998888,15855.655125681662,8833.769752350578,8,,,0,500,True,1.81436948,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1972-04-22|B109
9346,1972-11-09,SEADAB,6730,16.778055,106.865555,1656.5117100107295,6455.421466349805,24,,,0,500,True,5.44310844,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1972-11-09|6730
9464,1972-04-15,SEADAB,9070,16.775833,106.918055,7247.43840724764,6208.346339345626,4,,,0,500,True,0.90718474,0.0,STRIKE,SOUTH VIETNAM,KINETIC,SEADAB|1972-04-15|9070
10251,1972-11-21,SEADAB,6762,16.832777,107.009444,16979.804120273748,12540.230242193536,24,,,0,500,True,5.44310844,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1972-11-21|6762
10704,1972-11-07,SEADAB,6788,16.776944,106.996666,15619.025809087369,6331.883902847912,12,,,0,500,True,2.72155422,0.0,ARMED RECCE,SOUTH VIETNAM,KINETIC,SEADAB|1972-11-07|6788
10852,1972-09-25,SEADAB,6787,16.82,107.017777,17867.217304426933,11119.492664456031,3,,,0,500,True,0.680388555,0.0,ARMED RECCE,SOUTH VIETNAM,KINETIC,SEADAB|1972-09-25|6787
11001,1972-09-24,SEADAB,6942,16.815,106.999166,15885.260413717482,10563.518031233349,12,,,0,500,True,2.72155422,0.0,AIR INTERDICTION,SOUTH VIETNAM,KINETIC,SEADAB|1972-09-24|6942
11441,1971-08-15,SEADAB,5869,16.73,106.890277,4289.252468279067,1111.9492664457612,5,20 MM AMMO (HNDRDS),,50,50,False,0.1133980925,0.1133980925,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-08-15|5869
11810,1971-06-20,SEADAB,7913,16.815832999999998,106.893888,4673.801731207841,10656.14340512788,33,,,0,500,True,7.484274105000001,0.0,CLOSE AIR SUPPORT,LAOS,KINETIC,SEADAB|1971-06-20|7913
11951,1971-08-15,SEADAB,5813,16.734722,106.881111,3313.129913863042,1637.0117100614789,24,MK 82 GP BOMB (500) LD,,500,500,False,5.44310844,5.44310844,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-08-15|5813
11963,1971-09-08,SEADAB,B103,16.841110999999998,106.884722,3697.6791767903023,13466.92876084905,8,,,0,500,True,1.81436948,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-09-08|B103
12075,1972-07-13,SEADAB,6781,16.771110999999998,106.93388799999998,8933.55540529116,5683.283895729907,3,,,0,500,True,0.680388555,0.0,STRIKE,SOUTH VIETNAM,KINETIC,SEADAB|1972-07-13|6781
12422,1972-04-07,SEADAB,8526,16.874722,106.880555,3253.91933779292,17204.301440299372,46,,,0,500,True,10.43262451,0.0,STRIKE,SOUTH VIETNAM,KINETIC,SEADAB|1972-04-07|8526
13243,1970-04-09,SEADAB,B601,16.745555,106.864166,1508.591763677764,2841.586350401772,8,,,0,500,True,1.81436948,0.0,CLOSE AIR SUPPORT,,KINETIC,SEADAB|1970-04-09|B601
13705,1971-08-21,SEADAB,B111,16.856944,106.94888799999998,10530.96303307335,15227.478034412421,8,MK 82 GP BOMB (500) LD,,500,500,False,1.81436948,1.81436948,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-08-21|B111
14460,1971-08-24,SEADAB,B102,16.853888,106.887777,4023.017863648954,14887.666338586952,8,MK 82 GP BOMB (500) LD,,500,500,False,1.81436948,1.81436948,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-08-24|B102
15035,1972-03-30,SEADAB,A040,16.806388000000002,106.933333,8874.45132306565,9605.907322970475,25,,,0,500,True,5.669904625,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1972-03-30|A040
15702,1972-09-03,SEADAB,6607,16.838333,106.999166,15885.260413717482,13158.029254630546,12,,,0,500,True,2.72155422,0.0,AIR INTERDICTION,SOUTH VIETNAM,KINETIC,SEADAB|1972-09-03|6607
15911,1970-04-18,SEADAB,4831,16.723611,106.904444,5797.950725798415,401.524880113431,4,BLU27 FIRE BOMB (750),,750,750,False,1.36077711,1.36077711,CLOSE AIR SUPPORT,,KINETIC,SEADAB|1970-04-18|4831
16241,1972-04-15,SEADAB,9072,16.775833,106.918055,7247.43840724764,6208.346339345626,4,,,0,500,True,0.90718474,0.0,STRIKE,SOUTH VIETNAM,KINETIC,SEADAB|1972-04-15|9072
16348,1972-11-09,SEADAB,6734,16.804722,107.013055,17364.353383201007,9420.656575180623,12,,,0,500,True,2.72155422,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1972-11-09|6734
16917,1972-08-04,SEADAB,8925,16.7525,106.988888,14790.71670716121,3613.8351159484273,24,,,0,500,True,5.44310844,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1972-08-04|8925
17763,1972-10-18,SEADAB,9226,16.821388,106.9775,13577.964836149378,11273.831222638526,12,,,0,500,True,2.72155422,0.0,AIR INTERDICTION,SOUTH VIETNAM,KINETIC,SEADAB|1972-10-18|9226
18063,1971-07-01,SEADAB,B114,16.856388,106.915,6922.099720390502,15165.653655198097,8,MK 82 GP BOMB (500) LD,,500,500,False,1.81436948,1.81436948,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-07-01|B114
18079,1972-08-08,SEADAB,8933,16.834166,107.052777,21594.50176925305,12694.67999530279,17,,,0,500,True,3.855535145,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1972-08-08|8933
18240,1971-06-23,SEADAB,B160,16.814166,106.893055,4585.092360944997,10470.781462411664,4,MK81 GP BOMB (250),,250,250,False,0.45359237,0.45359237,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-06-23|B160
18308,1972-06-13,SEADAB,6799,16.783610999999997,106.861666,1242.3571590476515,7073.220478786813,12,,,0,500,True,2.72155422,0.0,STRIKE,SOUTH VIETNAM,KINETIC,SEADAB|1972-06-13|6799
18946,1972-06-23,SEADAB,6971,16.796944,106.989444,14849.927283231333,8555.78243573904,12,MK 82 GP BOMB (500) LD,,500,500,False,2.72155422,2.72155422,STRIKE,SOUTH VIETNAM,KINETIC,SEADAB|1972-06-23|6971
19104,1972-05-07,SEADAB,6606,16.815,106.989722,14879.532571265638,10563.518031233349,1,,,0,500,True,0.226796185,0.0,AIR INTERDICTION,SOUTH VIETNAM,KINETIC,SEADAB|1972-05-07|6606
19127,1972-09-01,SEADAB,6795,16.805833,106.985,14376.668650039717,9544.194138682513,8,,,0,500,True,1.81436948,0.0,AIR INTERDICTION,SOUTH VIETNAM,KINETIC,SEADAB|1972-09-01|6795
19608,1971-06-25,SEADAB,B156,16.816944,106.873333,2484.820811936886,10779.680968630168,4,,,0,500,True,0.90718474,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-06-25|B156
19886,1972-07-21,SEADAB,6785,16.822777,107.0225,18370.187719494435,11428.280975747777,2,,,0,500,True,0.45359237,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1972-07-21|6785
20127,1972-07-12,SEADAB,6712,16.819166,107.027222,18873.051640720358,11026.756095634346,28,,,0,500,True,6.35029318,0.0,STRIKE,SOUTH VIETNAM,KINETIC,SEADAB|1972-07-12|6712
20371,1973-01-01,SEADAB,6709,16.860277,106.971388,12927.074474748906,15598.090724918886,1,,,0,500,True,0.226796185,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1973-01-01|6709
21487,1971-09-03,SEADAB,B112,16.845277,106.927222,8223.66745550676,13930.166825250444,8,,,0,500,True,1.81436948,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-09-03|B112
21954,1971-07-01,SEADAB,B156,16.85,106.916944,7129.123748950493,14455.340463792918,3,20 MM AMMO (HNDRDS),,50,50,False,0.0680388555,0.0680388555,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-07-01|B156
21973,1972-11-30,SEADAB,9244,16.859166000000002,107.009722,17009.409408308053,15474.553161416996,10,,,0,500,True,2.2679618500000003,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1972-11-30|9244
22800,1972-12-10,SEADAB,6775,16.752222,107.024444,18577.21174805594,3582.922926341067,4,MK83 GP BOMB (1000),,1000,1000,False,1.81436948,1.81436948,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1972-12-10|6775
23158,1971-03-14,SEADAB,5252,16.831666000000002,106.852777,295.7333988243474,12416.692678691647,6,,,0,500,True,1.36077711,0.0,AIR INTERDICTION,SOUTH VIETNAM,KINETIC,SEADAB|1971-03-14|5252
23982,1972-11-28,SEADAB,6927,16.806110999999998,106.980277,13873.698234972211,9575.10632828948,12,MK 82 GP BOMB (500) LD,,500,500,False,2.72155422,2.72155422,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1972-11-28|6927
24042,1972-10-31,SEADAB,6749,16.796944,106.982777,14139.932839602325,8555.78243573904,18,,,0,500,True,4.08233133,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1972-10-31|6749
